speaker_iso,target_iso,year,count
GBR,GRC,1947,6
YUG,URS,1947,6
ZAF,URS,1947,6
ARG,URS,1947,5
ARG,USA,1947,5
COL,GBR,1947,5
COL,ZAF,1947,5
NLD,USA,1947,5
PER,USA,1947,5
RUS,GRC,1947,5
UKR,CHN,1947,5
USA,URS,1947,5
ZAF,IND,1947,5
BLR,ZAF,1947,4
COL,DEU,1947,4
COL,GRC,1947,4
FRA,GBR,1947,4
LBN,PSE,1947,4
LBN,USA,1947,4
MEX,USA,1947,4
POL,GRC,1947,4
RUS,IRN,1947,4
TUR,USA,1947,4
USA,JPN,1947,4
YUG,DEU,1947,4
YUG,GBR,1947,4
ARG,GRC,1947,3
AUS,DEU,1947,3
AUS,URS,1947,3
CHL,USA,1947,3
CSK,URS,1947,3
DOM,GRC,1947,3
EGY,ARE,1947,3
FRA,PSE,1947,3
GBR,CHN,1947,3
GBR,IDN,1947,3
GBR,SYR,1947,3
LBN,GRC,1947,3
NZL,USA,1947,3
POL,IDN,1947,3
POL,PSE,1947,3
RUS,BLR,1947,3
SAU,PSE,1947,3
SYR,ARE,1947,3
SYR,CHN,1947,3
UKR,PSE,1947,3
USA,CHN,1947,3
USA,GBR,1947,3
USA,GRC,1947,3
VEN,ITA,1947,3
YUG,ALB,1947,3
YUG,BGR,1947,3
YUG,CHN,1947,3
YUG,ITA,1947,3
ARG,ESP,1947,2
AUS,IDN,1947,2
BLR,GRC,1947,2
BLR,IND,1947,2
BLR,JPN,1947,2
CAN,USA,1947,2
COL,FRA,1947,2
COL,IND,1947,2
COL,TUR,1947,2
CSK,GRC,1947,2
DOM,PSE,1947,2
EGY,GBR,1947,2
FRA,GRC,1947,2
FRA,URS,1947,2
GBR,BGR,1947,2
GBR,ESP,1947,2
GBR,FRA,1947,2
GBR,IRN,1947,2
GBR,JPN,1947,2
GBR,PRK,1947,2
GRC,URS,1947,2
IND,DDR,1947,2
IND,IDN,1947,2
IND,ZAF,1947,2
IRQ,GBR,1947,2
LBN,ARE,1947,2
LBN,PRK,1947,2
NLD,IDN,1947,2
PER,PSE,1947,2
PHL,IND,1947,2
